Feature,Fisher's Score 
MI_dir_L0.01_weight,1.0332539
H_L0.01_weight,1.0332539
MI_dir_L0.01_mean,0.7662551
H_L0.01_mean,0.7662551
MI_dir_L0.1_mean,0.7549406
H_L0.1_mean,0.7549406
MI_dir_L0.01_variance,0.7256689
H_L0.01_variance,0.7256689
MI_dir_L1_mean,0.7169085
H_L1_mean,0.7169085
MI_dir_L0.1_variance,0.7100778
H_L0.1_variance,0.7100778
MI_dir_L1_variance,0.6991145
H_L1_variance,0.6991145
MI_dir_L3_mean,0.6432712
H_L3_mean,0.6432712
MI_dir_L3_variance,0.6109602
H_L3_variance,0.6109602
MI_dir_L0.1_weight,0.6071342
H_L0.1_weight,0.6071342
MI_dir_L5_mean,0.5761719
H_L5_mean,0.5761719
MI_dir_L5_variance,0.5115851
H_L5_variance,0.5115851
MI_dir_L5_weight,0.4774951
H_L5_weight,0.4774951
MI_dir_L3_weight,0.4525833
H_L3_weight,0.4525833
MI_dir_L1_weight,0.4473067
H_L1_weight,0.4473067
HH_L0.01_mean,0.297463
HH_L0.1_mean,0.2973964